,厚度mm,孔隙率（%）,压缩回弹性率（%）,过滤阻力Pa,过滤效率（%）,透气性 mm/s,插层率（%）
0,1.715,93.52,77.84,8.13,4.967,777.1,
1,2.81,96.28,83.2,7.5329999999999995,19.967,1019.67,36.44
2,1.83,93.93,86.23,10.47,1.933,795.57,
3,2.91,96.41,86.65,7.2,24.967,968.63,24.74
4,1.89,94.12,82.12,11.87,4.3,564.93,
5,3.425,96.95,94.33,10.133,34.6,643.4,31.45
6,2.095,94.7,83.01,13.9,11.767000000000001,474.5,
7,3.4,96.93,82.88,10.6,33.9,603.17,19.37
8,2.235,95.03,86.04,19.23,20.767,347.23,
9,3.845,97.3,75.97,15.7,54.5,405.83,31.19
10,1.39,92.01,82.33,11.47,1.733,685.97,
11,2.015,94.82,82.19,9.533,26.4,660.3,16.53
12,1.705,93.48,90.36,14.67,8.5,477.57,
13,2.75,96.7,83.05,14.567,35.567,642.9,19.73
14,1.55,92.83,89.47,22.17,19.2,326.33,
15,3.165,96.7,89.29,17.1,44.867,408.6,21.72
16,1.915,94.2,74.37,26.77,37.2,268.83,
17,2.81,96.28,91.49,21.1,50.167,329.73,18.62
18,1.83,93.93,72.79,32.3,40.667,242.4,
19,2.725,96.17,85.73,25.166999999999998,56.733000000000004,284.77,13.87
20,1.17,90.5,65.03,16.53,11.3,477.37,
21,2.365,95.58,90.2,10.3,22.833000000000002,653.47,7.63
22,1.365,91.86,83.33,19.9,20.566999999999997,367.5,
23,2.935,96.44,92.31,14.067,40.667,530.5,19.84
24,1.6,93.06,80.56,33.4,45.433,244.47,
25,2.445,95.73,90.11,20.467,47.0,325.03,4.84
26,1.45,92.34,80.91,30.9,43.467,239.1,
27,2.525,96.43,84.24,24.633000000000003,61.433,262.07,22.12
28,1.54,92.78,82.31,37.87,58.367,233.53,
29,2.725,96.17,94.59,29.333000000000002,67.133,234.67,2.5
30,1.085,89.76,43.91,21.03,18.3,352.67,
31,1.775,94.12,88.76,17.8,30.967,455.7,15.69
32,1.08,93.83,80.63,27.03,30.7,303.07,
33,2.05,94.91,82.65,19.967,41.733000000000004,335.37,29.79
34,1.905,94.17,87.4,32.03,46.1,219.73,
35,2.115,95.06,80.98,28.733,55.367,249.43,50.87
36,1.31,91.52,76.54,48.93,65.333,192.5,
37,3.105,96.64,83.82,34.9,66.067,242.6,43.72
38,1.97,94.36,87.5,55.27,73.933,168.63,
39,2.96,96.47,86.47,48.0,74.933,180.0,21.71
40,0.87,87.23,83.89,30.27,34.0,245.7,
41,1.74,94.0,90.12,23.033,42.333,309.93,11.32
42,1.0,88.89,79.17,42.17,53.9,211.4,
43,2.02,94.83,86.21,34.1,60.733000000000004,234.13,19.35
44,0.995,88.83,77.52,52.33,67.567,182.63,
45,2.06,94.93,87.12,49.367,73.2,226.03,24.02
46,1.11,89.99,76.39,60.2,74.767,154.2,
47,2.085,94.99,88.83,48.567,81.633,191.1,35.88
48,1.365,91.86,76.39,65.77,80.033,137.17,
49,2.425,95.69,84.38,62.033,86.96700000000001,156.33,32.95
