接收距离(cm),热风速度(r/min),厚度mm,孔隙率（%）,压缩回弹性率（%）,过滤阻力Pa,过滤效率（%）,透气性 mm/s
40,800,1.715,93.52,77.84,8.13,4.967,777.1
40,900,1.83,93.93,86.23,10.47,1.933,795.57
40,1000,1.89,94.12,82.12,11.87,4.3,564.93
40,1100,2.095,94.7,83.01,13.9,11.767,474.5
40,1200,2.235,95.03,86.04,19.23,20.767,347.23
35,800,1.39,92.01,82.33,11.47,1.733,685.97
35,900,1.705,93.48,90.36,14.67,8.5,477.57
35,1000,1.55,92.83,89.47,22.17,19.2,326.33
35,1100,1.915,94.2,74.37,26.77,37.2,268.83
35,1200,1.83,93.93,72.79,32.3,40.667,242.4
30,800,1.17,90.5,65.03,16.53,11.3,477.37
30,900,1.365,91.86,83.33,19.9,20.567,367.5
30,1000,1.6,93.06,80.56,33.4,45.433,244.47
30,1100,1.45,92.34,80.91,30.9,43.467,239.1
30,1200,1.54,92.78,82.31,37.87,58.367,233.53
25,800,1.085,89.76,43.91,21.03,18.3,352.67
25,900,1.08,93.83,80.63,27.03,30.7,303.07
25,1000,1.905,94.17,87.4,32.03,46.1,219.73
25,1100,1.31,91.52,76.54,48.93,65.333,192.5
25,1200,1.97,94.36,87.5,55.27,73.933,168.63
20,800,0.87,87.23,83.89,30.27,34,245.7
20,900,1,88.89,79.17,42.17,53.9,211.4
20,1000,0.995,88.83,77.52,52.33,67.567,182.63
20,1100,1.11,89.99,76.39,60.2,74.767,154.2
20,1200,1.365,91.86,76.39,65.77,80.033,137.17
